key,en,zh,ja
title,🎨 Mixbox Palette,🎨 Mixbox 调色板,🎨 Mixbox パレット
switchPalette,Palette,切换颜料,パレット
clear,Clear,清空,クリア
brushSize,Size,大小,サイズ
brushSpacing,Sp.,间距,間隔
brushWetness,Wet,湿度,水分
paintConcentration,Conc.,浓度,濃度
smudgeStrength,Str.,强度,強度
brushSizeTitle,Brush Size,笔刷大小,筆の太さ
brushSpacingTitle,Brush Spacing,笔刷间距,ブラシ間隔
brushWetnessTitle,Watercolor Wetness,水彩湿度,水彩の水分量
paintConcentrationTitle,Paint Concentration,颜料浓度,絵具の濃度
smudgeStrengthTitle,Smudge Strength,涂抹强度,スマッジ強度
brushLabel,Brush,笔刷,ブラシ
selectBrush,Select Brush,选择笔刷,ブラシを選択
undo,Undo,撤销,元に戻す
redo,Redo,重做,やり直し
smudgeTool,Smudge (S),涂抹 (S),スマッジ (S)
eyedropperTool,Eyedropper (I),吸管 (I),スポイト (I)
pressureSensitivity,Pressure Sensitivity,压感灵敏度,筆圧の感度
pressureSensVery,Softest tip,笔尖最软,筆先が最も柔らかい
pressureSensHigh,Soft tip,笔尖偏软,筆先が柔らかめ
pressureSensLinear,Medium tip,笔尖适中,筆先が標準
pressureSensFirm,Firm tip,笔尖偏硬,筆先が硬め
errorOverlayTitle,Something went wrong,出现错误,エラーが発生しました
errorOverlayDesc,"An unexpected error happened. Reload to recover. If it keeps happening, please report on {discord} or {github}.",发生了未预期的错误。点击刷新即可恢复。如果反复出现，请在 {discord} 或 {github} 反馈。,予期しないエラーが発生しました。リロードすれば復旧できます。繰り返し発生する場合は {discord} または {github} でご連絡ください。
errorOverlayReload,Reload,刷新恢复,リロード
errorOverlayDismiss,Dismiss,关闭提示,閉じる
mixArea,Mixing Area,混色区,混色エリア
foreground,FG,前景,前景
background,BG,背景,背景
instructions,Instructions,操作说明,操作方法
inst1_action,Left/Right Click paint,左键/右键点击颜料,左クリック/右クリック：絵具
inst1_desc,Select as foreground/background color,选择为前景色/背景色,前景色・背景色として選択
inst2_action,Click brush icon,点击笔刷图标,ブラシアイコンをクリック
inst2_desc,Switch brush texture,切换笔刷材质,ブラシテクスチャを切り替え
inst3_action,Alt + Left Click canvas,Alt + 左键点击画布,Alt + 左クリック：キャンバス
inst3_desc,Pick as foreground,取色为前景色,前景色としてスポイト
inst4_action,Alt + Right Click canvas,Alt + 右键点击画布,Alt + 右クリック：キャンバス
inst4_desc,Pick as background,取色为背景色,背景色としてスポイト
inst5,Click ↶ Undo / ↷ Redo,点击 ↶ 撤销 / ↷ 重做,↶ 元に戻す / ↷ やり直し をクリック
inst6_action,Hold Space + click PS canvas,按住空格 + 点击 PS 画布,スペースキー + PSキャンバスをクリック
inst6_desc,Return shortcuts to PS,将快捷键归还给 PS,ショートカットをPSに戻す
inst7_action,Drag panel left/right edge,拖动面板左右边缘,パネルの左右端をドラッグ
inst7_desc,Resize canvas,调整画布宽度,キャンバスサイズを変更
inst8_action,Click version number,点击版本号,バージョン番号をクリック
inst8_desc,Check for updates,检查更新,アップデートを確認
inst9_question,UI display issues?,UI 显示异常？,UIの表示がおかしい？
inst9_action,Press F5,按 F5,F5キー
inst9_desc,to reload from remote,刷新重新获取远端,でリモートから再読み込み
inst10_condition,Watercolor brush,水彩笔刷,水彩ブラシ
inst10_desc,→ KM engine recommended for more natural blending,→ 推荐使用 KM 引擎以获得更自然的混色效果,→ より自然な混色にはKMエンジンを推奨
statusDraw_prefix,Mode:,当前模式:,モード:
statusDraw_value,Draw,绘制,描画
statusSmudge_value,Smudge,涂抹,スマッジ
statusEyedropper_value,Eyedropper,吸管,スポイト
statusRectSelect_value,Rect Select → PS,矩形选取 → PS,矩形選択 → PS
selectBrushModal,Select Brush,选择笔刷,ブラシを選択
mixStrengthLabel,Mix Strength:,混色强度:,ミックス強度:
paletteName_winsorNewtonCotman,Winsor & Newton Cotman 16,温莎牛顿 Cotman 16色,ウィンザー&ニュートン コットマン 16色
paletteName_digitalArtist,Digital Artist Palette,数字艺术家调色板,デジタルアーティストパレット
paletteName_schminckeHoradam,Schmincke Horadam 16,施美尔 Horadam 16色,シュミンケ ホラダム 16色
paletteName_kuretakeGansai,Kuretake Gansai 16,吴竹 Gansai 16色,呉竹 顔彩 16色
paletteName_rembrandtOil,Rembrandt Oil 16,伦勃朗油画 16色,レンブラント 油彩 16色
paletteName_wnGouache,Winsor & Newton Designers Gouache Mix,温莎牛顿 Designers Gouache,ウィンザー&ニュートン デザイナーズ ガッシュ
switchLanguage,Switch Language,切换语言,言語を切り替え
versionModalTitle,Version Info,版本信息,バージョン情報
versionUpToDate,✓ Up to date,✓ 已是最新版本,✓ 最新バージョンです
versionTagApp,App,App,App
versionTagHost,Host,宿主,ホスト
versionTagCache,Cache,缓存,Cache
versionCopyBtn,Copy,复制,コピー
versionCopied,Copied!,已复制！,コピーしました！
zoomTitle,Zoom — Zoom in expands canvas size; zoom out does not,缩放 — 放大会同步扩展画布尺寸，缩小不会,ズーム — 拡大時はキャンバスサイズも拡張、縮小時はそのまま
switchEngine,Switch Mixing Engine (Mixbox / KM),切换混色引擎 (Mixbox / KM),ミキシングエンジン切り替え (Mixbox / KM)
focusHint,Hold Space + click PS canvas to return shortcuts,按住空格 + 点击 PS 画布以切回快捷键,スペース + PSキャンバスをクリックでショートカットを戻す
saveCanvas,Save PNG,保存 PNG,PNG保存
saveCanvasTitle,Save canvas as PNG image,将画布保存为 PNG 图片,キャンバスをPNG画像として保存
rectSelectTool,Send to PS,传输至PS,PSへ送信
